"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","7,813.70","8,092.30","8,148.70","7,628.10","5.47B","-3.44%"
"01/07/2024","8,092.30","7,767.50","8,092.30","7,702.50","12.79B","4.18%"
"01/06/2024","7,767.50","7,701.70","7,861.80","7,654.20","12.75B","0.85%"
"01/05/2024","7,701.70","7,664.10","7,900.20","7,556.50","13.66B","0.49%"
"01/04/2024","7,664.10","7,896.90","7,910.50","7,492.60","11.63B","-2.95%"
"01/03/2024","7,896.90","7,698.70","7,901.20","7,591.40","14.58B","2.57%"
"01/02/2024","7,698.70","7,680.70","7,703.80","7,489.40","19.21B","0.23%"
"01/01/2024","7,680.70","7,590.80","7,682.30","7,322.00","12.31B","1.18%"
"01/12/2023","7,590.80","7,087.30","7,614.30","7,041.10","14.36B","7.10%"
"01/11/2023","7,087.30","6,780.70","7,125.60","6,780.70","14.73B","4.52%"
"01/10/2023","6,780.70","7,048.60","7,112.70","6,751.30","15.75B","-3.80%"
"01/09/2023","7,048.60","7,305.30","7,340.90","6,957.20","15.68B","-3.51%"
"01/08/2023","7,305.30","7,410.40","7,470.10","7,090.00","16.23B","-1.42%"
"01/07/2023","7,410.40","7,203.30","7,472.30","6,998.10","12.50B","2.88%"
"01/06/2023","7,203.30","7,091.30","7,368.40","7,054.80","14.95B","1.58%"
"01/05/2023","7,091.30","7,309.20","7,368.00","7,091.30","15.28B","-2.98%"
"01/04/2023","7,309.20","7,177.80","7,391.20","7,177.80","11.43B","1.83%"
"01/03/2023","7,177.80","7,258.40","7,370.30","6,895.00","18.10B","-1.11%"
"01/02/2023","7,258.40","7,476.70","7,567.70","7,193.40","14.25B","-2.92%"
"01/01/2023","7,476.70","7,038.70","7,516.80","6,905.30","11.92B","6.22%"
"01/12/2022","7,038.70","7,284.20","7,375.20","6,993.80","13.71B","-3.37%"
"01/11/2022","7,284.20","6,863.50","7,293.70","6,823.00","17.36B","6.13%"
"01/10/2022","6,863.50","6,474.20","6,873.80","6,411.90","16.45B","6.01%"
"01/09/2022","6,474.20","6,986.80","7,015.20","6,433.10","18.13B","-7.34%"
"01/08/2022","6,986.80","6,945.20","7,137.50","6,918.20","16.23B","0.60%"
"01/07/2022","6,945.20","6,568.10","6,973.60","6,537.20","14.07B","5.74%"
"01/06/2022","6,568.10","7,211.20","7,254.60","6,407.00","18.29B","-8.92%"
"01/05/2022","7,211.20","7,435.00","7,435.00","6,930.20","15.92B","-3.01%"
"01/04/2022","7,435.00","7,499.60","7,624.80","7,233.30","12.02B","-0.86%"
"01/03/2022","7,499.60","7,049.10","7,556.60","6,968.90","18.82B","6.39%"
"01/02/2022","7,049.10","6,971.60","7,356.80","6,945.70","15.93B","1.11%"
"01/01/2022","6,971.60","7,444.60","7,620.20","6,758.20","14.03B","-6.35%"
"01/12/2021","7,444.60","7,256.00","7,520.60","7,168.90","11.90B","2.60%"
